score,grid_mape,grade_mape,grade_year_mape,grid_mae,grade_mae,grade_year_mae,runs,seed,turnover,first_child,second_child,third_child,student_exit,early_birth,later_birth,tk8_exit,high_exit,special_exit,same_school_year,tkk_weight,elementary_weight,middle_weight,high_weight,special_weight
0.1237343383159508,0.043163299229757215,0.04200602595740688,0.20488401403831957,271.90740740740756,265.01851851851836,68.9874074074074,30,643465,0.05,0.8,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1250823894041729,0.03694952829411065,0.036566450621439005,0.21340678935057097,247.38518518518555,246.0518518518518,73.52592592592595,30,714736,0.05,0.8,0.65,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.12544660562887827,0.03735427156457349,0.036972509359881695,0.21372982079552896,249.31481481481498,247.98148148148135,73.51333333333334,30,667222,0.05,0.8,0.55,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1256419874585758,0.03875469496128846,0.03837278665861789,0.21272023410719842,259.9925925925925,258.65925925925944,73.22074074074072,30,857278,0.05,0.9,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1258065761382928,0.035425021649490046,0.03428277494458077,0.21675925397955018,226.55555555555554,219.8888888888888,74.21432098765432,30,215839,0.045,0.9,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.12626011745322252,0.03513855391329774,0.03399619889640669,0.2179528585015928,224.76666666666662,218.10000000000016,74.34987654320989,30,25783,0.045,0.8,0.55,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.12631744338761342,0.03546526042058604,0.034324118044221565,0.21774019754282303,226.0444444444444,219.37777777777774,74.29876543209878,30,73297,0.045,0.8,0.65,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.12891684855145075,0.05107107441170672,0.04992240076194402,0.20733695951607614,325.24814814814806,318.3592592592592,70.2348148148148,30,2026,0.045,0.8,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13015734272656831,0.04388217506049609,0.04275154032845445,0.2169978277586614,279.8444444444444,273.1777777777777,70.5841975308642,30,651384,0.05,0.8,0.55,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13598250704351955,0.04925879809320369,0.04813554610962408,0.22326784198562521,311.50370370370416,304.8370370370368,73.14814814814815,30,9945,0.045,0.8,0.55,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13757717497553915,0.04681348015031386,0.04643820768700954,0.2285285060324166,329.8740740740744,328.5407407407408,79.85135802469136,30,97054,0.045,0.8,0.65,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13780035898840895,0.0473924184013078,0.04701732713127021,0.22839584521052889,334.0074074074071,332.67407407407427,79.95555555555555,30,429652,0.045,1,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13782882889010328,0.04813364349959183,0.047757706764971916,0.22771198264792472,340.42962962962974,339.0962962962961,80.07802469135801,30,49540,0.045,0.8,0.55,0.4,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13830865759012828,0.05014238764579911,0.04976366328936008,0.226664289712677,349.6333333333332,348.300000000001,75.94740740740741,30,675141,0.05,0.8,0.55,0.3,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13851320326971178,0.047952534443974223,0.047578423675269155,0.22926092747980187,338.62592592592654,337.29259259259265,79.8041975308642,30,287110,0.045,0.9,0.65,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13872969137299096,0.045441736465261034,0.0450609953832267,0.23220801682173806,304.86296296296325,303.5296296296297,77.17703703703702,30,223758,0.045,0.9,0.55,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13888683013747044,0.04736207554526897,0.046987521889187894,0.23059886155771242,333.55555555555566,332.22222222222223,80.57629629629628,30,239596,0.045,0.9,0.55,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13892918343144764,0.04844212701418852,0.04806790360425913,0.22960335155367145,343.4925925925924,342.1592592592594,80.62691358024692,30,144568,0.045,0.8,0.75,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.13952944984263116,0.050504262304531596,0.05012546341855294,0.22874403682372005,351.366666666667,350.0333333333335,76.19185185185185,30,722655,0.05,0.8,0.65,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1396664684592701,0.04575040944303072,0.04536948587709977,0.23377298925847498,307.537037037037,306.20370370370324,77.45901234567901,30,33702,0.045,0.8,0.55,0.3,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14008909574172623,0.047819860760124226,0.04744097407330025,0.2325477740667402,322.99629629629607,321.6629629629632,77.60666666666665,30,81216,0.045,0.8,0.65,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1403469400692033,0.05135297611294523,0.05097418135349579,0.2295303014051861,357.43333333333317,356.09999999999985,76.38148148148147,30,865197,0.05,0.9,0.55,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14125048358473108,0.05625237838705252,0.05587877010727585,0.226435392922298,403.25925925925924,401.92592592592587,79.7762962962963,30,690979,0.05,0.8,0.55,0.4,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14247545370517126,0.05783258999063439,0.057460208072720724,0.22730450837866498,414.3333333333328,412.9999999999997,80.70222222222222,30,928549,0.05,0.9,0.65,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14249701932620873,0.05824195497631357,0.0578699868965826,0.22693806771596936,417.17407407407427,415.8407407407407,80.3864197530864,30,881035,0.05,0.9,0.55,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14262055218928751,0.05755323299002882,0.05717938909998267,0.22787479333356928,412.59999999999985,411.26666666666654,80.3204938271605,30,786007,0.05,0.8,0.75,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1431238628577837,0.05933514345115768,0.058962097100435255,0.22709910543977094,426.777777777778,425.44444444444406,80.56938271604938,30,1071091,0.05,1,0.55,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14385313532778593,0.059171228151531134,0.058798787884424414,0.22872126263759407,424.59259259259255,423.25925925925924,80.88395061728394,30,738493,0.05,0.8,0.65,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14539386722970232,0.0532706649860909,0.052135650259571405,0.23808457683657347,355,348.3333333333333,76.84197530864199,30,659303,0.05,0.8,0.55,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.14730721929459145,0.05230773777127182,0.051181415512862004,0.24286986194711602,338.2296296296298,331.56296296296296,78.4967901234568,30,17864,0.045,0.8,0.55,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1510073614433139,0.06008924496836516,0.059717812830311176,0.24211119398728964,433.6999999999997,432.3666666666669,82.63135802469137,30,104973,0.045,0.8,0.65,0.3,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15238968659965912,0.06089991755710536,0.06053015863977588,0.2440643351008776,439.67407407407416,438.34074074074056,84.0720987654321,30,437571,0.045,1,0.55,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15268716707382127,0.06142557532436413,0.061053514201184225,0.24413478938486838,443.81111111111113,442.4777777777774,83.23037037037038,30,57459,0.045,0.8,0.55,0.4,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15309341511554142,0.06050833599773813,0.060136518772794814,0.2458644028458164,437.4925925925923,436.159259259259,84.6046913580247,30,247515,0.045,0.9,0.55,0.3,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15332403992551785,0.061269089536611226,0.06089764611392919,0.2455647120257655,442.94444444444395,441.6111111111114,84.33604938271604,30,152487,0.045,0.8,0.75,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1552807537876402,0.058830548357480056,0.058453061720014014,0.25191970253653334,410.3370370370372,409.00370370370376,83.03185185185185,30,41621,0.045,0.8,0.55,0.3,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15530824674583438,0.06276464713711813,0.06239402841613954,0.24803715571503993,454.5148148148152,453.18148148148134,84.65308641975307,30,295029,0.045,0.9,0.65,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15592235164883816,0.059801659652358924,0.05942482302520588,0.2522314619588939,417.10740740740715,415.774074074074,83.40370370370371,30,231677,0.045,0.9,0.55,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15628769231917317,0.06362542122218774,0.06325006929999982,0.24913763937725253,454.54074074074094,453.2074074074074,81.6395061728395,30,730574,0.05,0.8,0.65,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15699093530846292,0.06496353711386275,0.06458967419846134,0.24920526496076376,465.24814814814795,463.91481481481503,82.43876543209876,30,873116,0.05,0.9,0.55,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15708970243670953,0.07121233957910628,0.07084279504432932,0.24315183756170125,518.8592592592591,517.5259259259258,83.52246913580247,30,698898,0.05,0.8,0.55,0.4,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15712014898811996,0.07244515254852466,0.07207759686409573,0.24197892326992973,527.4555555555557,526.1222222222226,83.74444444444445,30,746412,0.05,0.8,0.65,0.3,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1571933517453285,0.07185054558663251,0.07148149209065302,0.2427206846520142,523.7222222222224,522.3888888888887,84.50641975308642,30,888954,0.05,0.9,0.55,0.3,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15723376883098453,0.07378734464501846,0.07342083460835445,0.2408634480352826,534.1518518518513,532.8185185185188,87.1395061728395,30,120811,0.045,0.8,0.65,0.4,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.157351292613864,0.07218702118851161,0.07181843514747129,0.2426998570597365,525.7370370370373,524.4037037037039,83.98345679012345,30,793926,0.05,0.8,0.75,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15749034984679555,0.059697937362482204,0.059320172890698415,0.2554716445670008,418.2296296296295,416.8962962962964,83.06419753086419,30,89135,0.045,0.8,0.65,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15764027226380378,0.07247046874117298,0.07210418586417693,0.2429932172249326,527.4444444444446,526.111111111111,83.69777777777779,30,936468,0.05,0.9,0.65,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15771309832177216,0.07239046932259935,0.07202216345411121,0.24321988025518904,527.3592592592588,526.025925925926,84.25160493827161,30,1079010,0.05,1,0.55,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15781595696558512,0.07325927822271708,0.07289289939598091,0.24255582512182125,530.1555555555557,528.8222222222226,86.88592592592592,30,358381,0.045,0.9,0.75,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15794988680545088,0.07533309935188862,0.07496835781270618,0.24074904502860436,545.2740740740737,543.9407407407408,86.7856790123457,30,500923,0.045,1,0.65,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15807300786725098,0.06351166225746921,0.06313562300754559,0.25282237310199457,453.12962962962985,451.79629629629676,82.70888888888891,30,683060,0.05,0.8,0.55,0.3,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15809886096955417,0.07504423289926287,0.07468030534266318,0.2413354528181453,542.3296296296298,540.9962962962962,87.1325925925926,30,453409,0.045,1,0.55,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.15901829913021262,0.07565493042222803,0.07528906707101206,0.24256459951380518,547.8296296296297,546.4962962962967,87.4953086419753,30,263353,0.045,0.9,0.55,0.4,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1597220373960466,0.07602851181930893,0.07566389146147402,0.2435978731517017,550.6370370370372,549.3037037037037,87.83901234567901,30,310867,0.045,0.9,0.65,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.16003770923879768,0.07671897980885378,0.07635464571022793,0.24353860571805447,555.525925925926,554.1925925925924,87.90074074074076,30,168325,0.045,0.8,0.75,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.16466138603717806,0.08699509461360933,0.0866322598715597,0.2425090948317716,634.0148148148145,632.6814814814818,88.0953086419753,30,809764,0.05,0.8,0.75,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1646864507703686,0.08726290010248919,0.08690088343037666,0.24229100977430423,635.6962962962957,634.3629629629627,88.65382716049382,30,762250,0.05,0.8,0.65,0.4,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1649356639528155,0.0886260522157361,0.0882635789388213,0.24142651232835227,645.5592592592589,644.225925925926,88.58345679012345,30,1142362,0.05,1,0.65,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.16562973182592836,0.08774844714054136,0.08738528374732987,0.2436925982079211,640.1407407407405,638.8074074074074,89.05728395061728,30,952306,0.05,0.9,0.65,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1657837362330951,0.08704900359418832,0.08668748200301203,0.24469922966759006,633.3888888888889,632.055555555556,88.87382716049382,30,1094848,0.05,1,0.55,0.3,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.16634248772378263,0.08695334067898254,0.0865904144806918,0.24591309786772808,633.6740740740738,632.3407407407408,88.81086419753086,30,999820,0.05,0.9,0.75,0.2,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.16644400283003422,0.08757499573094343,0.0872123815093686,0.24549431703991242,639.5148148148147,638.1814814814817,88.94,30,904792,0.05,0.9,0.55,0.4,0,0.055,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.16842025603011174,0.07379992804654836,0.07343458291147725,0.26322325658121065,539.6851851851853,538.3518518518518,89.07728395061729,30,445490,0.045,1,0.55,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.16865554547949638,0.07521288705976488,0.07484672107633374,0.26228128689094343,549.8037037037043,548.4703703703703,88.47283950617285,30,255434,0.045,0.9,0.55,0.3,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.16958383372242003,0.07435268420815032,0.0739845590713606,0.2649990458050846,544.1925925925926,542.8592592592591,88.84148148148148,30,112892,0.045,0.8,0.65,0.3,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17064335947744083,0.07473567942983987,0.07436963961927955,0.26673405943032197,547.351851851852,546.0185185185187,89.82395061728397,30,302948,0.045,0.9,0.65,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1712175428912584,0.07492772788573719,0.07456115646768643,0.26769064360580497,549.9592592592594,548.6259259259261,90.06444444444445,30,160406,0.045,0.8,0.75,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1715547850707757,0.07571564012005397,0.07534891943765055,0.26757729036269917,555.3666666666661,554.0333333333333,90.10197530864197,30,65378,0.045,0.8,0.55,0.4,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17266480991421376,0.08349610797298929,0.08313037177752827,0.26201637995316873,614.8,613.4666666666667,89.75407407407407,30,801845,0.05,0.8,0.75,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17284569460805177,0.08316997253880999,0.08280561678005376,0.26270359455667164,611.6592592592592,610.3259259259261,89.01135802469135,30,754331,0.05,0.8,0.65,0.3,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17301294319946062,0.08350486150609779,0.08314085953749517,0.26270302587712474,613.5592592592589,612.2259259259253,89.58098765432099,30,944387,0.05,0.9,0.65,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1732399801119783,0.0891133000643918,0.08875263102074238,0.25754699468138953,651.9703703703703,650.6370370370369,91.03506172839506,30,318786,0.045,0.9,0.65,0.3,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17369493201750305,0.08871821316032259,0.08835749908015313,0.25885200791476826,648.5037037037034,647.1703703703703,91.1041975308642,30,271272,0.045,0.9,0.55,0.4,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17381017732668325,0.08475369188747357,0.0843893661374488,0.2630488256409053,623.4111111111114,622.0777777777777,89.88962962962962,30,706817,0.05,0.8,0.55,0.4,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17383575939932042,0.08915007648705102,0.08878883460481328,0.25870206325270867,652.9296296296295,651.5962962962966,91.4758024691358,30,461328,0.045,1,0.55,0.3,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17429540003107524,0.09000838783886321,0.08964700781079411,0.25876310223732185,658.6962962962962,657.3629629629631,91.5041975308642,30,366300,0.045,0.9,0.75,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17442263217676074,0.08534956617119405,0.08498526083390537,0.2636778508509718,628.2555555555552,626.9222222222227,90.19432098765432,30,1086929,0.05,1,0.55,0.2,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.1744379293340068,0.08422920138031752,0.0838640542875016,0.2648292308341041,619.8296296296304,618.4962962962959,89.4883950617284,30,896873,0.05,0.9,0.55,0.3,0,0.085,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17535918472422396,0.08908232507181588,0.08872033979674863,0.26181703701416564,653.0148148148145,651.6814814814815,91.12395061728395,30,508842,0.045,1,0.65,0.2,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
0.17537421370792158,0.08972039415357486,0.08936127120246032,0.26120759473782557,656.5074074074078,655.1740740740743,92.02592592592593,30,128730,0.045,0.8,0.65,0.4,0,0.07,0.005,0,0,0,0.5,0.2,0.45,0.2,0.14,0.01
